Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,5604.91,5645.18,5600.56,5629.15,55400,5629.15
2013-09-12,5622.49,5657.64,5575.89,5596.98,79100,5596.98
2013-09-11,5525.76,5606.52,5519.24,5599.29,65600,5599.29
2013-09-10,5482.52,5528.11,5482.52,5525.52,42300,5525.52
2013-09-06,5440.03,5454.17,5409.77,5451.01,45500,5451.01
2013-09-05,5376.63,5426.57,5376.63,5420.23,51100,5420.23
2013-09-04,5287.46,5332.63,5277.61,5329.90,000,5329.90
2013-09-03,5394.82,5402.58,5269.87,5275.98,46100,5275.98
2013-09-02,5312.48,5381.80,5309.30,5375.72,000,5375.72
2013-08-30,5308.85,5345.28,5269.47,5300.40,50500,5300.40
2013-08-29,5246.34,5302.86,5246.34,5300.72,47500,5300.72
2013-08-28,5256.96,5256.96,5118.74,5224.13,49000,5224.13
2013-08-27,5381.90,5381.90,5269.13,5278.28,40900,5278.28
2013-08-26,5390.48,5424.73,5379.33,5390.78,38200,5390.78
2013-08-23,5325.95,5376.70,5325.28,5358.75,45800,5358.75
2013-08-22,5255.87,5319.17,5232.39,5310.17,41100,5310.17
2013-08-21,5390.43,5428.00,5266.44,5274.03,54400,5274.03
2013-08-20,5338.77,5359.47,5290.74,5340.23,43900,5340.23
2013-08-19,5431.23,5431.23,5325.23,5362.79,44200,5362.79
2013-08-16,5581.09,5583.48,5433.65,5439.05,54000,5439.05
2013-08-14,5571.34,5606.72,5560.49,5590.79,68200,5590.79
2013-08-13,5498.34,5556.24,5490.55,5554.03,52500,5554.03
2013-08-12,5431.55,5502.19,5420.51,5492.25,43300,5492.25
2013-08-08,5348.64,5414.99,5348.64,5409.14,50400,5409.14
2013-08-07,5304.32,5357.66,5277.29,5337.47,60700,5337.47
2013-08-06,5429.84,5429.84,5280.70,5301.78,59000,5301.78
2013-08-05,5443.72,5455.56,5386.79,5443.56,51700,5443.56
2013-08-02,5458.99,5463.66,5388.62,5429.04,61000,5429.04
2013-08-01,5553.96,5580.81,5427.98,5450.60,74000,5450.60
2013-07-31,5578.32,5578.32,5441.93,5543.13,65400,5543.13
2013-07-30,5714.99,5716.02,5583.87,5591.94,48000,5591.94
2013-07-29,5782.71,5782.71,5695.86,5703.83,000,5703.83
2013-07-26,5854.00,5872.43,5751.39,5779.60,000,5779.60
2013-07-25,5881.13,5883.40,5829.56,5837.42,000,5837.42
2013-07-24,5979.12,5979.12,5879.08,5889.83,000,5889.83
2013-07-23,6014.68,6035.35,5996.16,5999.29,000,5999.29
2013-07-22,5997.80,6035.10,5992.22,5995.99,000,5995.99
2013-07-19,6043.03,6061.46,5986.44,5993.46,000,5993.46
2013-07-18,5991.89,6032.92,5980.12,6028.58,000,6028.58
2013-07-17,6031.21,6060.73,5969.33,5984.46,000,5984.46
2013-07-16,6044.69,6045.41,6003.78,6014.41,000,6014.41
2013-07-15,6049.32,6111.29,6043.04,6102.81,000,6102.81
2013-07-12,6066.17,6075.54,6031.28,6048.41,000,6048.41
2013-07-11,6038.85,6080.57,6038.85,6048.54,000,6048.54
2013-07-10,6044.95,6062.52,6002.97,6008.07,000,6008.07
